text,likes,followers
i feel so shitty about my body today I want to starve but my dad is taking me out to lunch I'm gonna cry,1,343
photo grow share giraffe prefer lunch radar tribe able dinner blossom trip,0,7
"Kia ora!!! Welcome to Vietnam. 

Your local cuisine dish will be 🥁 
 
Vietnamese pancakes!!!  

I challenge you to eat this dish with a coffee spoon. And without closing your elegant eyes.",0,51
"In the 1950's, housewives were initially resistant to instant cake mixes - they made cooking too easy.

So manufacturers changed the recipe to require adding an egg - this led to greater adoption.

Consumers value products more highly when they have a hand in their creation.",0,35
"i want you to make yourself your lunch and let it sit until it's perfectly mouldy for you to eat 😌

findom femdom paypig asianfindom whalesub",3,277
"Had some weird dreams last night, one of them being that I met Aaron Rogers and we were eating some random like French food??? 

Weird.",0,42
..Wanna go get some lunch?,0,329
"Are you checking out the weirdo setting howler monkeys loose on the dance floor? That's just a power bottom going to town on some Top Ramen, and they do NOT look happy to see you, girl.",0,78
"Good morning, #Hudson! The Professor is in and getting ready for Lunch.",0,37
"hello! not new to edtwt (switched accs) + looking for new moots &lt;3

➜ lio, 6teen, she/her
➜ 170cm 
➜ cw 63 | ugw 49
➜ not fatphobic + very interactive 
➜ ♡s kpop, anime, …

 ♡ / ↻ to be moots!
🏷️: edtwt bonespo thinspo fatspo ricecaketwt meanspo sweetspo fasting diet",4,14
"20-30 min wait to get a dosa at avrebele mela , I give up 🤣🤣",0,98
"If Totenham wins tonight,.. am dropping video having lunch with Zuchu",45,7474
"If you see it do it

pronouns   : he/him
height         : 6'
shoe size    : 11 mens
zodiac sign : Leo
smoke         : yes
tattoos        : yes
piercings     : never
fav color      : green
fav drink      : whiskey cocktails",1,106
"Send $10 for my morning smoothie 

$send4shopping",1,9351
"So thats how i was in the mood to make soup and i was indecisive... either ogbono and okra or Afang soup, so i wrote my list and went to the market",0,1051
"Kirkland Organic Salsa, Kirkland Wild Alaskan Fish Oil 1400 mg, Seasoned Pork Back Ribs Baby Back Ribs, Fletcher's Black Forest Ham, Fresh Wild Ahi Tuna",0,86
"Breakfast:   ☕ Hot Beverage  (2 servings)  🍪 Cookie  (2 servings) 
 Lunch:   🍸 Cocktail Glass  (2 servings)  🍶 Sake  (1 serving)  🍌 Banana (1 serving)
 Dinner:  🍠 Roasted Sweet Potato (2 servings) 🍆 Eggplant  (1 serving)  🥩 Cut of Meat  (1 serving)",0,11
"The general public in South Africa drinks tea and coffee in the day to wake up but at night to fall asleep. At least in Cae town
They are quite the stressed out people, hypertension is quite common, and the affects of excess stress from living in a murderous hell are visible",0,144
"I need gastronomy tv producer oomf to come back from Spain; the fantasy is not the same without them! 😭😂

Another oomf knows sssuper famous celebs, and eating out with them is dope/a ki; but it’s NOT gastronomy-nerdy like with the producer!

(Which is what you want at a rest.)",0,80
With #GlobalCitizenFestival been used a case study for other events held during the holidays. I think the @GlblCtzn remains the master brewery of them all,0,252
Went for a swim just now. Was going to go for walk after lunch but weather gone grotty again.,0,974
finally bought a flask so i can have hot meals for lunch at work (we do not have a microwave)…….. this willl be my year (because i will enjoy many soups),7,907
"Juza: This time it went a bit well...I think. 
Sakuya: Right, right! Let's go eat crepes on the way back!",0,9
"When I first started building an audience back in May 2022, I put in about 15 hours a week on top of my day job. 

For months, it was what I did before work, during lunch, and on weekends.

Create. Write. Study. Experiment.

It was a slog:

(A story-thread for audience builders)",294,71455
why is everyone suddenly baking cookies at the same time,0,142
"I’ve been drinking more water and kombucha and smoking A-LOT less…and I feel better. 

Not that I felt bad before…but I feel better https://t.co/QcxdPv9xdu",2,2378
"Every day I go to work I'm amazed at the things I've achieved, then I go to the canteen and drool down my own chin while I'm trying to eat my lunch.",1,240
Construction lunch break alarm,0,2618
getting canceled by the woke mob at golden corral for scooping up handfuls of mashed potatoes with my bare hands and eating it where I stand,11,3875
"Nottingham people, y'all don't eat amala??? Why can't I find Amala here . I'm dying please😭😭",0,2188
"Loool they way the donny just sweeted the Caribbean aunty in the takeaway shop for his meal to be dropped to £8 pounds is hilarious. He was like mummmy it’s me, i’m a regular you can’t do me like this.",6,5400
I be pissed and then be like “you want me to make you lunch”,0,523
"Does Oreo cookies in Asia especially India and Pakistan contains Halal or Haraam ingredients. Plz clerified that thing🙏🙏

@Oreo @Oreo",0,15
"I know these are bagels, and therefore Anger, but they are very low in fat, high fibre and fairly low calorie.",0,32
"So someone sat down, saw bitter leaf and thought; this leaf would make a very ‘tasty’ soup! 

Then went ahead and made bitter-leaf soup a thing? 

And y’all enjoying it?

Who hurt you?",4,1404
I had a dream last night where I went back to Miami and the overpriced healthfood smoothie place I like had special chairs on the sidewalk for sunning ones genitals. The chairs were all in use. I feel like this will actually be a thing one day soon,10,2265
im going to try that hack where you microwave eggs in leftover instant noodle soup to make spicy steamed eggs,5,1020
i told someone at work i was dieting and apparently i’m inspiring them to do the same 😭,0,59
"Are you struggling to lose body weight no matter how hard you may exercise or how many strict diets you go on? Not anymore! Alpilean, your body weight losing partner is based on a blend of 6 alpine nutrients and plants designed to target and optimize low inner body temperature",1,0
If she eats fufu and waakye with a spoon 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩,0,1129
Saturday in full swing! Had a massive lunch and now spread on the bed,6,914
I'm waiting for Noah so we can go get lunch together.,0,16
"Using today to enjoy being in Florida.

A friend and I are going to the art &amp; farmers market in town!

I might also go to the beach later!",3,306
"# Dont get suckered in by bear market rallies, says GMOs gleefully bearish founder 🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤Impasse on financial disclosure rules threatened more than $2tn of shares in US-listed Chinese companies",0,1
"When you go out for breakfast or lunch, look for a diner/cafe/local dive for great food, support local businesses . Say hello to the wait staff, be friendly, smile, eat with a passion  and tip generously.",1,431
"Just had leftover South Indian Garlic Chilli my Mum ordered me last night for lunch,a very good one, the curry not my Mum, though she's a very good one too.",2,421
"After 5 weeks training while on keto diet (&lt; 20 net carbs/day), lost 12 lbs but 9 lost during week 1. Stronger now, sustaining ketosis, and 5 mile daily runs getting easy. 18 lbs to go before race day. I hate starting abs work with a passion! 🥲
#FitnessMotivation 
#ketodiet",3,1520
Indian street food,0,1529
I beg of people making thai food to stop putting peanut butter and calling it pad thai,0,97
"Let us eat lunch together today! Hm? ""Are you asking me on a date?"" I-I could never do something so unabashedly! Though, I also would not mind if you wished to-!!",0,266
"PAX Lunch @ Hwy 55 Burgers Shakes &amp; Fries, 3700 S Memorial Dr E, Greenville, NC 27834, USA
Jan 07, 2023 12:00PM - Jan 07, 2023 01:00PM (60.0 minutes)",0,1127
"Last two days have gone well, overslept and missed a meeting with a prof and a lunch, and somehow managed to fall asleep this evening as well and be late for a dinner by an hour 😑",0,6
trying to eat my lunch and getting a call that the fucking alarm is going off lord give me PEACE,0,42
i’m on some housewife shit. packing my boyfriend a lunch in his heated lunch box i got him 💓,0,202
Prayers then mixed fruits smoothie to break fast after this morning’s “prison workout” 📈,1,2119
"besties i need u
my boss gave me lunch, i ate the filling of a smallish vegetarian sausage roll, and the filling of a palm sized veg empanada
what is edtwt's cal estimate here?",6,613
# Decision follows sharp rise in food prices due to Russias invasion of Ukraine and Covid pandemic 🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚🍲🍐🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇A tariff on Russian oil could pave the way to an embargo,0,1
Ya pockets on a diet nigga I’m calling you Atkins,2,322
how tf am i supposed to skip lunch at school pls help,1,84
At this rate me haffi go start use ramen noodles as egg noodles fuck it,0,2483
the way I did all of my assignments I ate lunch worked out and skz still have to perform,1,65
The lunch I made today &gt;&gt;&gt; my price suppose don increase,1,1048
