index,text,likes,followers,popularity,pop_level
0,i feel so shitty about my body today I want to starve but my dad is taking me out to lunch I'm gonna cry,1.0,343.0,0.8295535565568279,1
4,"i want you to make yourself your lunch and let it sit until it's perfectly mouldy for you to eat 😌

findom femdom paypig asianfindom whalesub",3.0,277.0,1.7101593400278798,2
6,..Wanna go get some lunch?,0.0,329.0,0.4172812359857487,0
9,"hello! not new to edtwt (switched accs) + looking for new moots &lt;3

➜ lio, 6teen, she/her
➜ 170cm 
➜ cw 63 | ugw 49
➜ not fatphobic + very interactive 
➜ ♡s kpop, anime, …

 ♡ / ↻ to be moots!
🏷️: edtwt bonespo thinspo fatspo ricecaketwt meanspo sweetspo fasting diet",4.0,14.0,3.127792021809884,2
10,"20-30 min wait to get a dosa at avrebele mela , I give up 🤣🤣",0.0,98.0,0.4892009571253237,0
11,"If Totenham wins tonight,.. am dropping video having lunch with Zuchu",45.0,7474.0,7.903913930599163,2
12,"If you see it do it

pronouns   : he/him
height         : 6'
shoe size    : 11 mens
zodiac sign : Leo
smoke         : yes
tattoos        : yes
piercings     : never
fav color      : green
fav drink      : whiskey cocktails",1.0,106.0,0.9688796690881357,1
13,"Send $10 for my morning smoothie 

$send4shopping",1.0,9351.0,0.3035471809764816,0
14,"So thats how i was in the mood to make soup and i was indecisive... either ogbono and okra or Afang soup, so i wrote my list and went to the market",0.0,1051.0,0.3416123355627679,0
15,"Kirkland Organic Salsa, Kirkland Wild Alaskan Fish Oil 1400 mg, Seasoned Pork Back Ribs Baby Back Ribs, Fletcher's Black Forest Ham, Fresh Wild Ahi Tuna",0.0,86.0,0.4972047297894989,0
17,"The general public in South Africa drinks tea and coffee in the day to wake up but at night to fall asleep. At least in Cae town
They are quite the stressed out people, hypertension is quite common, and the affects of excess stress from living in a murderous hell are visible",0.0,144.0,0.46611726954493937,0
19,With #GlobalCitizenFestival been used a case study for other events held during the holidays. I think the @GlblCtzn remains the master brewery of them all,0.0,252.0,0.43313766355531236,0
20,Went for a swim just now. Was going to go for walk after lunch but weather gone grotty again.,0.0,974.0,0.3470876429750819,0
21,finally bought a flask so i can have hot meals for lunch at work (we do not have a microwave)…….. this willl be my year (because i will enjoy many soups),7.0,907.0,2.817071285753941,2
23,"When I first started building an audience back in May 2022, I put in about 15 hours a week on top of my day job. 

For months, it was what I did before work, during lunch, and on weekends.

Create. Write. Study. Experiment.

It was a slog:

(A story-thread for audience builders)",294.0,71455.0,9.562499867790613,2
24,why is everyone suddenly baking cookies at the same time,0.0,142.0,0.4669463897333098,0
25,"I’ve been drinking more water and kombucha and smoking A-LOT less…and I feel better. 

Not that I felt bad before…but I feel better https://t.co/QcxdPv9xdu",2.0,2378.0,0.8298956099747762,1
26,"Every day I go to work I'm amazed at the things I've achieved, then I go to the canteen and drool down my own chin while I'm trying to eat my lunch.",1.0,240.0,0.8720339088459299,1
27,Construction lunch break alarm,0.0,2618.0,0.2682403001749973,0
